"Time","GateState","Distance","Velocity","Acceleration"
1.248427,1,0.000,,
1.282624,0,,,
2.220997,1,0.050,0.052,0.00
2.255166,0,,,
3.164785,1,0.100,0.052,0.00
3.199050,0,,,
4.137375,1,0.150,0.052,0.00
4.171557,0,,,
5.081140,1,0.200,0.052,0.00
5.115491,0,,,
6.053728,1,0.250,0.052,0.00
6.087974,0,,,
6.997529,1,0.300,0.052,0.00
7.031933,0,,,
7.970092,1,0.350,0.052,0.00
8.004415,0,,,
8.913899,1,0.400,0.052,0.00
8.948339,0,,,
9.886458,1,0.450,0.052,0.00
9.920868,0,,,
10.830276,1,0.500,0.052,0.00
10.864729,0,,,
11.802824,1,0.550,0.052,0.00
11.837305,0,,,
12.746650,1,0.600,0.052,0.00
12.781106,0,,,
13.719201,1,0.650,0.052,0.00
13.753735,0,,,
14.663026,1,0.700,0.052,0.00
14.697475,0,,,
15.635594,1,0.750,0.052,0.00
15.670147,0,,,
16.579409,1,0.800,0.052,0.00
16.613862,0,,,
17.551985,1,0.850,,
17.586542,0,,,
