"Time","GateState","Distance","Velocity","Acceleration"
0.320823,1,0.000,,
0.357228,0,,,
1.271801,1,0.050,0.053,0.00
1.307944,0,,,
2.222376,1,0.100,0.053,0.00
2.258842,0,,,
3.173338,1,0.150,0.053,0.00
3.209603,0,,,
4.123931,1,0.200,0.053,0.00
4.160425,0,,,
5.074960,1,0.250,0.053,0.00
5.111334,0,,,
6.025640,1,0.300,0.053,0.00
6.062162,0,,,
6.976618,1,0.350,0.053,0.00
7.013114,0,,,
7.927381,1,0.400,0.053,0.00
7.963928,0,,,
8.878299,1,0.450,0.053,0.00
8.914936,0,,,
9.829093,1,0.500,0.053,0.00
9.865691,0,,,
10.779956,1,0.550,0.053,0.00
10.816731,0,,,
11.730738,1,0.600,0.053,0.00
11.767402,0,,,
12.681527,1,0.650,0.053,0.00
12.718423,0,,,
13.632342,1,0.700,0.053,0.00
13.669073,0,,,
14.583104,1,0.750,0.053,0.00
14.620113,0,,,
15.533957,1,0.800,0.053,0.00
15.570769,0,,,
16.484698,1,0.850,0.053,0.00
16.521796,0,,,
17.435539,1,0.900,,
17.472449,0,,,
