"Time","GateState","Distance","Velocity","Acceleration"
1.298570,1,0.000,,
1.318415,0,,,
2.259389,1,0.050,0.052,0.00
2.279259,0,,,
3.216047,1,0.100,0.052,0.00
3.235961,0,,,
4.176884,1,0.150,0.052,0.00
4.196824,0,,,
5.133560,1,0.200,0.052,0.00
5.153519,0,,,
6.094363,1,0.250,0.052,0.00
6.114339,0,,,
7.051061,1,0.300,0.052,0.00
7.071027,0,,,
8.011859,1,0.350,0.052,0.00
8.031831,0,,,
8.968557,1,0.400,0.052,0.00
8.988517,0,,,
9.929364,1,0.450,0.052,0.00
9.949332,0,,,
10.886077,1,0.500,0.052,0.00
10.906030,0,,,
11.846860,1,0.550,0.052,0.00
11.866836,0,,,
12.803564,1,0.600,0.052,0.00
12.823549,0,,,
13.764360,1,0.650,0.052,0.00
13.784372,0,,,
14.721033,1,0.700,0.052,0.00
14.741073,0,,,
15.681812,1,0.750,0.052,0.00
15.701880,0,,,
16.638475,1,0.800,0.052,0.00
16.658582,0,,,
17.599256,1,0.850,,
17.619385,0,,,
