"Time","GateState","Distance","Velocity","Acceleration"
0.747077,1,0.000,,
0.764307,0,,,
1.715518,1,0.050,0.052,0.00
1.732809,0,,,
2.665272,1,0.100,0.052,0.00
2.682589,0,,,
3.633753,1,0.150,0.052,0.00
3.651115,0,,,
4.583460,1,0.200,0.052,0.00
4.600846,0,,,
5.551992,1,0.250,0.052,0.00
5.569427,0,,,
6.501691,1,0.300,0.052,0.00
6.519156,0,,,
7.470210,1,0.350,0.052,0.00
7.487698,0,,,
8.419849,1,0.400,0.052,0.00
8.437376,0,,,
9.388322,1,0.450,0.052,0.00
9.405897,0,,,
10.337928,1,0.500,0.052,0.00
10.355535,0,,,
11.306459,1,0.550,0.052,0.00
11.324108,0,,,
12.255996,1,0.600,0.052,0.00
12.273677,0,,,
13.224596,1,0.650,0.052,0.00
13.242315,0,,,
14.174073,1,0.700,0.052,0.00
14.191826,0,,,
15.142716,1,0.750,0.052,0.00
15.160502,0,,,
16.092170,1,0.800,0.052,0.00
16.109992,0,,,
17.060828,1,0.850,,
17.078684,0,,,
